name,longitude,latitude
Amphiprion clarkii,115.996,6.01534
Amphiprion frenatus,116.008,6.00658
Amphiprion polymnus,115.996,6.01534
Amphiprion percula,116.008,6.00658
Amphiprion clarkii,116.008,6.00658
Amphiprion ocellaris,116.008,6.00658
Amphiprion perideraion,96.870956,-12.164165
Amphiprion ocellaris,130.291667,-0.251944
Amphiprion sandaracinos,130.679552,-0.796663
Amphiprion ocellaris,130.288912,-0.251287
Amphiprion sandaracinos,130.288912,-0.251287
Amphiprion melanopus,130.272145,-0.565649
Amphiprion perideraion,130.272145,-0.565649
Amphiprion clarkii,130.63344,-0.57012
Amphiprion ocellaris,99.255837,7.318332
Amphiprion perideraion,124.095649,11.372586
Amphiprion mccullochi,159.062462,-31.528215
Amphiprion akallopisos,43.576954,-23.141932
Amphiprion akallopisos,43.576944,-23.141944
Amphiprion akallopisos,43.576944,-23.141944
Amphiprion ocellaris,102.743995,5.918774
Amphiprion clarkii,116.007,5.97309
Amphiprion percula,116.008,6.00658
Amphiprion ocellaris,116.007,5.97309
Amphiprion polymnus,116.007,5.97309
Amphiprion percula,116.029,5.9934
Amphiprion percula,116.007,5.97309
Amphiprion ocellaris,116.014,5.96653
Amphiprion clarkii,116.007,5.97309
Amphiprion ocellaris,116.007,5.97309
Amphiprion frenatus,116.029,5.9934
Amphiprion ocellaris,116.029,5.9934
Amphiprion frenatus,116.014,5.96653
Amphiprion frenatus,116.007,5.97309
Amphiprion frenatus,116.008,6.00658
Amphiprion clarkii,116.029,5.9934
Amphiprion ocellaris,116.008,6.00658
Amphiprion percula,116.014,5.96653
Amphiprion clarkii,116.014,5.96653
Amphiprion percula,116.007,5.97309
Amphiprion clarkii,116.008,6.00658
Amphiprion akallopisos,39.401253,-5.840924
Amphiprion clarkii,124.762586,1.616224
Amphiprion clarkii,124.762586,1.616224
Amphiprion ocellaris,120.922562,13.756509
Amphiprion clarkii,124.749963,1.615163
Amphiprion polymnus,124.122248,11.331925
Amphiprion akindynos,167.1191,-20.788088
Amphiprion clarkii,167.119539,-20.788047
Amphiprion polymnus,125.229678,1.462997
Amphiprion chrysopterus,159.235512,-8.987837
Amphiprion polymnus,125.235134,1.479208
Amphiprion melanopus,159.0434,-9.026502
Amphiprion chrysopterus,159.0434,-9.026502
Amphiprion perideraion,159.0434,-9.026502
Amphiprion clarkii,159.0434,-9.026502
Amphiprion sandaracinos,159.042805,-9.019947
Amphiprion sandaracinos,159.040742,-9.040355
Amphiprion leucokranos,159.040742,-9.040355
Amphiprion clarkii,158.731302,-9.017705
Amphiprion perideraion,158.22274,-8.704877
Amphiprion perideraion,158.204487,-8.62098
Amphiprion percula,158.204487,-8.62098
Amphiprion perideraion,158.205137,-8.624665
Amphiprion chrysopterus,158.200635,-8.612647
Amphiprion chrysopterus,158.200635,-8.612647
Amphiprion leucokranos,159.040742,-9.040355
Amphiprion percula,158.29796,-8.76162
Amphiprion percula,159.311348,-9.12524
Amphiprion perideraion,159.361812,-9.126567
Amphiprion sandaracinos,159.361812,-9.126567
Amphiprion leucokranos,159.361812,-9.126567
Amphiprion percula,160.160437,-9.112303
Amphiprion polymnus,160.056865,-8.950333
Amphiprion clarkii,160.182475,-9.105455
Amphiprion chrysopterus,159.351088,-9.100458
Amphiprion chrysopterus,159.0434,-9.026502
Amphiprion leucokranos,159.0434,-9.026502
Amphiprion melanopus,159.361812,-9.126567
Amphiprion clarkii,160.182475,-9.105455
Amphiprion polymnus,125.215596,1.439229
Amphiprion clarkii,125.249545,1.474131
Amphiprion perideraion,124.74086,1.634165
Amphiprion sandaracinos,124.74086,1.634165
Amphiprion clarkii,124.801023,1.639051
Amphiprion clarkii,124.742154,1.616026
Amphiprion clarkii,124.742154,1.616026
Amphiprion perideraion,124.742154,1.616026
Amphiprion perideraion,124.767649,1.613721
Amphiprion clarkii,124.772927,1.629996
Amphiprion perideraion,124.772927,1.629996
Amphiprion sandaracinos,124.778217,1.71991
Amphiprion percula,145.445272,-14.674269
Amphiprion percula,145.447641,-14.651012
Amphiprion melanopus,145.658065,-14.640987
Amphiprion melanopus,145.453298,-14.688117
Amphiprion akindynos,145.453298,-14.688117
Amphiprion akindynos,145.658065,-14.640987
Amphiprion melanopus,145.450023,-14.683393
Amphiprion perideraion,145.448184,-14.650968
Amphiprion clarkii,145.448184,-14.650968
